*MASS(MeV)    ,Err+   ,Err-   ,WIDTH(MeV)  ,Err+   ,Err-   ,I  ,G,J   ,P,C,A,PDG-MC ,Chrg,R,S,Name             ,Quarks         
1.87E+03      ,4.0E+01,4.0E+01,2.50E+02    ,3.0E+01,3.0E+01,?  ,?,2   ,?,?, ,       ,   0, ,F,X(1870)          ,??
1.87E+03      ,4.0E+01,4.0E+01,3.8E+02     ,1.2E+02,1.2E+02,1  ,-,3   ,+,+, ,       ,   0, ,F,a(3)(1875)       ,(uU-dD)/sqrt(2)
1.880E+03     ,2.0E+01,2.0E+01,2.6E+02     ,4.0E+01,4.0E+01,1  ,-,2   ,-,+, ,       ,   0, ,F,pi(2)(1880)      ,(uU-dD)/sqrt(2)
1.930E+03     ,3.0E+01,7.0E+01,1.6E+02     ,4.0E+01,4.0E+01,1  ,-,1   ,+,+, ,       ,   0, ,F,a(1)(1930)       ,(uU-dD)/sqrt(2)
1.935E+03     ,2.0E+01,2.0E+01,2.15E+02    ,3.0E+01,3.0E+01,1  ,+,1   ,-,?, ,       ,   0, ,F,X(1935)          ,??
1.94E+03      ,4.0E+01,4.0E+01,1.6E+02     ,4.0E+01,4.0E+01,1  ,+,2   ,-,-, ,       ,   0, ,F,rho(2)(1940)     ,(uU-dD)/sqrt(2)
1.945E+03     ,2.0E+01,2.0E+01,1.15E+02    ,2.2E+01,2.2E+01,0  ,-,3   ,-,-, ,       ,   0, ,F,omega(3)(1945)   ,x(uU+dD)+y(sS)
1.960E+03     ,2.5E+01,2.5E+01,2.0E+02     ,6.0E+01,6.0E+01,0  ,-,1   ,-,-, ,       ,   0, ,F,omega(1960)      ,x(uU+dD)+y(sS)
1.96E+03      ,4.0E+01,4.0E+01,2.1E+02     ,8.0E+01,8.0E+01,1  ,+,1   ,+,-, ,       ,   0, ,F,b(1)(1960)       ,(uU-dD)/sqrt(2)
1.965E+03     ,3.0E+01,3.0E+01,1.65E+02    ,3.0E+01,3.0E+01,1  ,+,1   ,-,-, ,       ,   0, ,F,rho(1965)        ,(uU-dD)/sqrt(2)
1.96E+03      ,4.0E+01,4.0E+01,3.4E+02     ,8.0E+01,8.0E+01,0  ,-,1   ,+,-, ,       ,   0, ,F,h(1)(1965)       ,x(uU+dD)+y(sS)
1.971E+03     ,1.5E+01,1.5E+01,2.4E+02     ,4.0E+01,4.0E+01,0  ,+,1   ,+,+, ,       ,   0, ,F,f(1)(1970)       ,x(uU+dD)+y(sS)
1.9700E+03    ,1.0E+01,1.0E+01,4.0E+01     ,2.0E+01,2.0E+01,?  ,?,?   ,?,?, ,       ,   0, ,F,X(1970)          ,??
1.973E+03     ,1.5E+01,1.5E+01,80          ,-1     ,-1     ,?  ,?,?   ,?,?, ,       ,   0, ,F,X(1975)          ,??
1.975E+03     ,2.0E+01,2.0E+01,1.75E+02    ,2.5E+01,2.5E+01,0  ,-,2   ,-,-, ,       ,   0, ,F,omega(2)(1975)   ,x(uU+dD)+y(sS)
2.0030E+03    ,1.0E+01,1.0E+01,2.49E+02    ,2.3E+01,2.3E+01,1  ,-,2   ,+,+, ,       ,   0, ,F,a(2)(1990)       ,(uU-dD)/sqrt(2)
2.000E+03     ,3.0E+01,3.0E+01,3.0E+02     ,8.0E+01,8.0E+01,1  ,+,1   ,-,-, ,       ,   0, ,F,rho(2000)        ,(uU-dD)/sqrt(2)
2.0010E+03    ,1.0E+01,1.0E+01,3.12E+02    ,3.2E+01,3.2E+01,0  ,+,2   ,+,+, ,       ,   0, ,F,f(2)(2000)       ,x(uU+dD)+y(sS)
2.214E+03     ,1.5E+01,1.5E+01,3.55E+02    ,2.1E+01,2.1E+01,1  ,-,?   ,?,+, ,       ,   0, ,F,X(2000)          ,??
1.9980E+03    ,3.0E+00,3.0E+00,15          ,-1     ,-1     ,?  ,?,4   ,+,+, ,       ,   0, ,F,X(2000)          ,??
2.005E+03     ,1.5E+01,1.5E+01,2.0E+02     ,4.0E+01,4.0E+01,1  ,-,2   ,-,+, ,       ,   0, ,F,pi(2)(2005)      ,(uU-dD)/sqrt(2)
2.010E+03     ,3.5E+01,6.0E+01,2.7E+02     ,6.0E+01,6.0E+01,0  ,+,0   ,-,+, ,       ,   0, ,F,eta(2010)        ,x(uU+dD)+y(sS)
2.014E+03     ,2.0E+01,2.0E+01,2.30E+02    ,3.2E+01,3.2E+01,1  ,-,1   ,-,+, ,       ,   0, ,F,pi(1)(2015)      ,(uU-dD)/sqrt(2)
2.025E+03     ,3.0E+01,3.0E+01,3.3E+02     ,8.0E+01,8.0E+01,1  ,-,0   ,+,+, ,       ,   0, ,F,a(0)(2020)       ,(uU-dD)/sqrt(2)
