|*Host*|*Location*|*ip0*|*eth0*|*ip1*|*eth1*|*Serial*|*Has ipmi*|
|hlte0803|D1E08|192.168.204.65|00:13:72:f9:18:60|10.130.152.3|00:13:72:f9:18:5f|3Y5ZF2J|<div style='background-color:green'>x</div>|
|hlte0804|D1E08|192.168.204.66|00:13:72:fb:08:81|10.130.152.4|00:13:72:fb:08:80|DY5ZF2J|<div style='background-color:green'>x</div>|
|hlte08proto|D1E04|192.168.38.1|00:15:c5:e5:3a:77|10.130.149.4|00:15:c5:e5:3a:75|XXXXX||
|hlte0901|D1E09|192.168.208.1|00:13:72:fa:f1:ea|10.130.153.1|00:13:72:fa:f1:e8||<div style='background-color:green'>x</div>|
|hlte0902|D1E09|192.168.208.2|00:13:72:fb:0d:37|10.130.153.2|00:13:72:fb:0d:35||<div style='background-color:green'>x</div>|
|hlte0903|D1E09|192.168.208.65|00:15:c5:e5:32:25|10.130.153.3|00:15:c5:e5:32:23||<div style='background-color:green'>x</div>|
|hlte0904|D1E09|192.168.208.66|00:15:c5:e5:44:51|10.130.153.4|00:15:c5:e5:44:4f||<div style='background-color:green'>x</div>|
|hlte1001|D1E10|192.168.212.1|00:15:c5:e5:3a:a4|10.130.154.1|00:15:c5:e5:3a:a2||<div style='background-color:green'>x</div>|
|hlte1002|D1E10|192.168.212.2|00:13:72:fa:ff:7c|10.130.154.2|00:13:72:fa:ff:7a|SVXXD2J|<div style='background-color:green'>x</div>|
|hlte1003|D1E10|192.168.212.65|00:13:72:fa:ff:86|10.130.154.3|00:13:72:fa:ff:84|7VXXD2J|<div style='background-color:green'>x</div>|
|hlte1004|D1E10|192.168.212.66|00:13:72:fb:0d:6e|10.130.154.4|00:13:72:fb:0d:6c|9VXXD2J|<div style='background-color:green'>x</div>|
|hlte11|d1e11|10.130.155.100|00:14:22:B0:CA:1D||00:14:22:B0:CA:1E|hcy122j|<div style='background-color:green'>x</div>|
|hlte1101|d1e11|192.168.216.1|00:13:72:FA:15:B1|10.130.155.1|00:13:72:FA:15:AF|bzyxd2j|<div style='background-color:green'>x</div>|
|hlte1102|d1e11|192.168.216.2|00:13:72:FA:66:2C|10.130.155.2|00:13:72:FA:66:2A|20zxd2j|<div style='background-color:green'>x</div>|
|hlte1103|d1e11|192.168.216.65|00:13:72:FB:04:80|10.130.155.3|00:13:72:FB:04:7E|gzyxd2j|<div style='background-color:green'>x</div>|
|hlte1104|d1e11|192.168.216.66|00:13:72:FB:05:31|10.130.155.4|00:13:72:FB:05:2F|9zyxd2j|<div style='background-color:green'>x</div>|
|hlte11proto|d1e11|10.135.155.101|00:13:72:FA:15:AF|10.135.155.101|00:13:72:FA:15:AF|||
|*D2*||||||||
|bcmdaq01|d2|10.130.39.22|00:30:48:7E:75:CE||00:30:48:7E:75:CF|SN0100008457|<div style='background-color:green'>x</div>|
|hltb01|D2B04|10.130.112.100|00:11:43:FD:99:09||00:11:43:FD:99:0A|1kstj1j|<div style='background-color:green'>x</div>|
|hltc01|D2B03|10.130.123.100|00:11:43:FD:98:AF||00:11:43:FD:98:B0|5nstj1j|<div style='background-color:green'>x</div>|
|hltc02|D2B03|10.130.124.100|00:11:43:FD:9A:20||00:11:43:FD:9A:21|7nstj1j|<div style='background-color:green'>x</div>|
|hltc03|D2B03|10.130.125.100|00:11:43:FD:9F:F9||00:11:43:FD:9F:FA|hjstj1j|<div style='background-color:green'>x</div>|
|hltc04|D2B03|10.130.126.100|00:11:43:FD:94:E3||00:11:43:FD:94:E4|7mstj1j|<div style='background-color:green'>x</div>|
|hltc06|D2B03|10.130.128.100|00:11:43:FD:A4:0A||00:11:43:FD:A4:0B|16mrj1j|<div style='background-color:green'>x</div>|
|hltc07|D2B03|10.130.129.100|00:11:43:FD:98:FA||00:11:43:FD:98:FB|cjstj1j|<div style='background-color:green'>x</div>|
|hltc08|D2B03|10.130.130.100|00:11:43:FD:9A:32||00:11:43:FD:9A:33|d1ntj1j|<div style='background-color:green'>x</div>|
|hltc09|D2B03|10.130.131.100|00:11:43:FD:9C:2D||00:11:43:FD:9C:2E|fjstj1j|<div style='background-color:green'>x</div>|
|hltc10|D2B03|10.130.132.100|00:11:43:FD:99:27||00:11:43:FD:99:28|cnstj1j|<div style='background-color:green'>x</div>|
|hltc11|D2B03|10.130.133.100|00:11:43:FD:99:87||00:11:43:FD:99:88|3hstj1j|<div style='background-color:green'>x</div>|
|hltd01|D2B02|10.130.134.100|00:11:43:FD:98:D6||00:11:43:FD:98:D7|6mstj1j|<div style='background-color:green'>x</div>|
|hltd02|D2B02|10.130.135.100|00:11:43:FD:99:39||00:11:43:FD:99:3A|ggstj1j|<div style='background-color:green'>x</div>|
|hltd03|D2B02|10.130.136.100|00:11:43:FD:98:70||00:11:43:FD:98:71|bnstj1j|<div style='background-color:green'>x</div>|
