file CF_noEff CF_eff Delta_CF sigma_Delta_CF phase_noEff phase_Eff Delta_phase sigma_Delta_phase A_noEff Abar_noEff A_withEff Abar_withEff AxAbarRe_noEff AxAbarIm_noEff AxAbarRe_withEff AxAbarIm_withEff
autoRnd_157.out 0.361031 0.426259 0.0652278 0.0068003 -18.6156 -16.3389 2.27674 0.221548 0.131318 0.0174021 0.0125071 0.00168159 0.000781865 -0.000263364 8.60294e-06 -2.52202e-06
autoRnd_158.out 0.295564 0.255255 -0.0403087 0.00690804 -134.445 -142.239 -7.79409 0.278209 0.146637 0.0106535 0.0139637 0.00102457 -0.000323311 -0.000329641 -2.88706e-06 -2.23631e-06
autoRnd_159.out 0.384734 0.333019 -0.0517154 0.00685457 50.4507 49.9073 -0.543446 0.285134 0.142624 0.0154762 0.0135876 0.0014377 0.000540732 0.000654813 4.18969e-06 4.97671e-06
autoRnd_16.out 0.328674 0.341165 0.0124907 0.00705188 -143.456 -144.579 -1.12258 0.287706 0.153214 0.0119645 0.014584 0.0011813 -0.000484053 -0.000358754 -4.78978e-06 -3.40659e-06
autoRnd_160.out 0.326695 0.291077 -0.0356178 0.0068293 89.8688 94.2412 4.37247 0.234577 0.140103 0.0157944 0.0133334 0.0014592 1.65593e-06 0.000722925 -4.18826e-07 5.64768e-06
autoRnd_161.out 0.364518 0.33266 -0.0318582 0.00694835 91.2063 97.693 6.48671 0.313066 0.132943 0.0128313 0.0126458 0.00118425 -1.30907e-05 0.000621671 -6.669e-07 4.93703e-06
autoRnd_162.out 0.561328 0.596181 0.0348528 0.00706299 -132.08 -131.738 0.342096 0.285916 0.168118 0.0160998 0.0160242 0.00156686 -0.0010182 -0.00112766 -9.96508e-06 -1.11697e-05
autoRnd_163.out 0.460886 0.500839 0.0399525 0.00705004 -74.1054 -72.7857 1.31965 0.208771 0.155895 0.0134166 0.0148401 0.00131415 0.000264005 -0.000927124 2.89063e-06 -9.32987e-06
autoRnd_164.out 0.41547 0.423323 0.00785267 0.00700141 -40.4908 -35.2416 5.24927 0.273835 0.148194 0.014422 0.0141016 0.00138704 0.000675308 -0.000576581 6.76248e-06 -4.77776e-06
autoRnd_165.out 0.629592 0.624088 -0.00550367 0.00697405 -7.72413 -9.35053 -1.6264 0.165109 0.125119 0.0178018 0.0119213 0.00170132 0.0013896 -0.000188477 1.24896e-05 -2.05656e-06
