#CLKstep	Min_Int1_avg	Min_Int1_stddev	Min_Int2_avg	Min_Int2_stddev
137	9.9465e-01	1.4466e-02	1.0219e+00	9.8092e-03
138	9.9478e-01	9.9855e-03	1.0266e+00	1.2034e-02
139	1.0007e+00	9.4700e-03	1.0296e+00	1.1832e-02
140	9.9759e-01	1.0160e-02	1.0278e+00	1.1232e-02
141	9.9782e-01	1.3422e-02	1.0223e+00	1.3898e-02
142	9.9486e-01	1.3679e-02	1.0232e+00	1.2459e-02
143	1.0008e+00	7.9053e-03	1.0333e+00	9.7789e-03
144	1.0037e+00	2.5314e-02	1.0255e+00	1.2426e-02
145	1.0078e+00	8.1467e-03	1.0342e+00	1.0695e-02
146	9.9244e-01	1.0636e-02	1.0221e+00	1.4100e-02
147	1.0016e+00	7.1715e-03	1.0278e+00	9.6601e-03
148	9.9977e-01	1.2439e-02	1.0281e+00	1.0726e-02
149	1.0050e+00	1.0216e-02	1.0287e+00	1.4587e-02
150	9.9794e-01	6.6723e-03	1.0219e+00	9.2557e-03
151	9.9377e-01	1.2443e-02	1.0221e+00	1.0736e-02
152	9.9641e-01	1.2733e-02	1.0200e+00	7.7962e-03
153	9.9741e-01	1.4083e-02	1.0156e+00	1.1544e-02
154	1.0061e+00	9.1099e-03	1.0265e+00	1.1514e-02
155	9.9031e-01	6.6511e-03	1.0134e+00	9.7140e-03
156	1.0014e+00	1.0858e-02	1.0225e+00	9.8963e-03
157	1.0020e+00	9.2506e-03	1.0185e+00	1.1418e-02
158	9.9790e-01	1.0891e-02	1.0129e+00	9.3954e-03
159	1.0036e+00	1.4124e-02	1.0180e+00	1.2836e-02
160	1.0006e+00	7.3516e-03	1.0148e+00	7.6461e-03
161	1.0054e+00	1.2559e-02	1.0180e+00	1.4430e-02
162	1.0053e+00	1.2203e-02	1.0137e+00	9.2172e-03
163	1.0126e+00	1.7420e-02	1.0252e+00	1.0646e-02
164	1.0066e+00	1.3847e-02	1.0145e+00	1.2317e-02
165	1.0083e+00	1.1587e-02	1.0139e+00	1.2205e-02
166	1.0034e+00	1.1447e-02	1.0154e+00	1.1443e-02
167	1.0077e+00	1.4496e-02	1.0165e+00	1.3028e-02
168	1.0054e+00	1.4869e-02	1.0086e+00	5.3781e-03
169	1.0101e+00	1.1983e-02	1.0106e+00	9.3556e-03
170	1.0128e+00	1.5158e-02	1.0207e+00	1.1853e-02
171	1.0115e+00	2.0048e-02	1.0096e+00	1.4794e-02
172	1.0137e+00	1.3587e-02	1.0180e+00	1.6749e-02
173	1.0198e+00	1.8081e-02	1.0107e+00	1.4199e-02
174	1.0219e+00	9.6617e-03	1.0273e+00	1.2996e-02
175	1.0166e+00	9.2368e-03	1.0115e+00	9.8216e-03
176	1.0220e+00	2.2997e-02	1.0116e+00	1.7454e-02
177	1.0156e+00	1.1504e-02	1.0069e+00	8.1884e-03
178	1.0118e+00	1.1916e-02	1.0074e+00	1.1556e-02
179	1.0148e+00	1.1053e-02	1.0059e+00	1.2611e-02
180	1.0217e+00	9.6042e-03	1.0083e+00	1.1644e-02
181	1.0230e+00	1.2304e-02	1.0083e+00	8.8827e-03
182	1.0292e+00	1.6211e-02	1.0094e+00	7.3259e-03
183	1.0268e+00	1.1593e-02	1.0042e+00	1.3503e-02
184	1.0251e+00	9.5531e-03	1.0162e+00	9.9971e-03
185	1.0306e+00	1.2853e-02	1.0110e+00	9.3487e-03
186	1.0291e+00	1.3211e-02	9.9624e-01	9.3161e-03
187	1.0425e+00	2.1772e-02	1.0072e+00	1.2534e-02
188	1.0409e+00	1.6934e-02	1.0011e+00	1.2810e-02
189	1.0387e+00	1.6137e-02	1.0057e+00	1.4569e-02
190	1.0430e+00	1.8801e-02	9.9964e-01	1.1975e-02
191	1.0281e+00	1.7548e-02	9.9278e-01	9.8468e-03
192	1.0435e+00	1.9813e-02	9.9595e-01	1.2453e-02
193	1.0452e+00	1.7521e-02	9.9513e-01	6.7638e-03
194	1.0411e+00	1.6522e-02	1.0020e+00	9.6892e-03
195	1.0402e+00	1.3001e-02	9.9438e-01	1.7051e-02
196	1.0434e+00	1.6825e-02	9.9435e-01	1.1616e-02
197	1.0496e+00	1.9268e-02	9.9738e-01	1.3494e-02
198	1.0452e+00	1.1279e-02	9.9730e-01	1.1548e-02
