|*Host*|*Location*|*ip0*|*eth0*|*ip1*|*eth1*|*Serial*|*Has ipmi*|
|hlte04|D2B01|10.130.148.100|00:14:22:B0:C8:01||00:14:22:B0:C8:02|C9D122J|<div style='background-color:green'>x</div>|
|hlte06|D2B01|10.130.150.100|00:14:22:B0:C8:8B||00:14:22:B0:C8:8C|HK3122J|<div style='background-color:green'>x</div>|
|hlte08|D2B01|10.130.152.100|00:14:22:B0:C7:E9||00:14:22:B0:C7:EA|13H222J|<div style='background-color:green'>x</div>|
|hlte09|D2B01|10.130.153.100|00:14:22:B0:C6:51||00:14:22:B0:C6:52|G1H122J|<div style='background-color:green'>x</div>|
|hlte09proto|D2A08|192.168.38.1|00:15:c5:e5:3a:77|10.130.149.4|00:15:c5:e5:3a:75|XXXXX||
|hlte10|D2B01|10.130.154.100|00:14:22:B0:C7:D7||00:14:22:B0:C7:D8|35Q222J|<div style='background-color:green'>x</div>|
|hlte10proto|D2A08|192.168.38.1|00:15:c5:e5:3a:77|10.130.149.4|00:15:c5:e5:3a:75|XXXXX||
|infmag01w|d2c01|10.130.20.55|00:14:22:b0:cf:f3||00:14:22:B0:CF:F2|fk3122j|<div style='background-color:green'>x</div>|
|itdaq01|d2c07|10.130.39.5|00:14:22:B0:C5:97||00:14:22:b0:c5:98|5bd122g|<div style='background-color:green'>x</div>|
|itdaq02|D2C01|10.130.20.25|00:04:23:C7:58:DE||00:04:23:C7:58:DF|BZDR60100464|<div style='background-color:green'>x</div>|
|itecs01|D2C07|10.128.20.127|00:14:22:b0:c5:94||00:14:22:b0:c5:95|C3H222J|<div style='background-color:green'>x</div>|
|ithvdcs01w|d2c06f38|10.130.20.26|00:14:22:B0:C6:51||00:14:22:B0:C6:50|d3h222j|<div style='background-color:green'>x</div>|
|itrcm01|D2C01|10.130.20.16|00:14:22:b0:c6:d8||00:14:22:b0:c6:d9|84Q222J|<div style='background-color:green'>x</div>|
|mona07|D2A07|10.130.41.192|00:11:43:FD:99:75||00:11:43:FD:99:76|2GSTJ1J|<div style='background-color:green'>x</div>|
|mona0701|D2A07|10.130.41.51|00:11:43:FD:9B:19|192.167.11.41|00:11:43:FD:9B:1A|40MRJ1J|<div style='background-color:green'>x</div>|
|mona0702|D2A07|10.130.41.52|00:11:43:FD:9E:37|192.167.11.42|00:11:43:FD:9E:38|DJSTJ1J|<div style='background-color:green'>x</div>|
|mona07proto|D2A07|192.168.38.1|00:15:c5:e5:3a:77|10.130.149.4|00:15:c5:e5:3a:75|XXXXX||
|mona08|D2A08|10.130.41.191|00:14:22:B0:CE:C4||00:14:22:B0:CE:C5|CK3122J|<div style='background-color:green'>x</div>|
|mona0801|D2A08|192.167.11.21|00:13:72:f9:66:0e|10.130.41.1|00:13:72:fa:66:0c|GVXXD2J|<div style='background-color:green'>x</div>|
|mona0802|D2A08|192.167.11.22|00:13:72:fa:61:77|10.130.41.2|00:13:72:fa:61:75||<div style='background-color:green'>x</div>|
|mona0803|D2A08|192.167.11.23|00:13:72:fa:61:7c|10.130.41.3|00:13:72:fa:61:7a||<div style='background-color:green'>x</div>|
|mona0804|D2A08|192.167.11.24|00:13:72:fa:ff:25|10.130.41.4|00:13:72:fa:ff:23||<div style='background-color:green'>x</div>|
|mona0805|D2A08|192.167.11.25|00:13:72:fb:04:fF|10.130.41.5|00:13:72:fb:04:fD||<div style='background-color:green'>x</div>|
|mona08proto|D2A08|192.168.38.1|00:15:c5:e5:3a:77|10.130.149.4|00:15:c5:e5:3a:75|XXXXX||
|mudaq01|d2c07|10.130.39.16|00:14:22:B0:C7:F5||00:14:22:b0:c7:f6|f9h222g|<div style='background-color:green'>x</div>|
|mudaqa01w|d2c03f50-51|10.130.20.44|00:14:22:B0:C6:9F||00:14:22:B0:C6:9E|c2h122j|<div style='background-color:green'>x</div>|
|mudaqa03w|d2c03f48-49|10.130.20.46|00:14:22:B0:C9:BE||00:14:22:B0:C9:BD|2dc222j|<div style='background-color:green'>x</div>|
|mudaqa04w|d2c02f47|10.130.20.47|00:14:22:B0:C9:10||00:14:22:B0:C9:0F|jcc222j|<div style='background-color:green'>x</div>|
|mudaqc01w|d2c02f42|10.130.20.38|00:14:22:B0:C6:91||00:14:22:B0:C6:90|g2h222j|<div style='background-color:green'>x</div>|
|mudaqc03w|d2c02f45|10.130.20.39|00:14:22:B0:C6:85||00:14:22:B0:C6:84|388222j|<div style='background-color:green'>x</div>|
|mudaqc04w|d2c02f46|10.130.20.40|00:14:22:B0:C6:43||00:14:22:B0:C6:42|g88222j|<div style='background-color:green'>x</div>|
|mudcs01w|d2c02f40|10.130.20.22|00:14:22:B0:C9:CD||00:14:22:B0:C9:CC|gm4122j|<div style='background-color:green'>x</div>|
|muecsa01w|d2c07f21|10.130.20.59|00:14:22:B0:C5:C2||00:14:22:B0:C5:C1|1nr122j|<div style='background-color:green'>x</div>|
|muecsc01w|d2c07f20|10.130.20.60|00:14:22:B0:C7:ED||00:14:22:B0:C7:EC|fmr122j|<div style='background-color:green'>x</div>|
|mulva01w|d2c06f42|10.130.20.52|00:14:22:B0:CA:72||00:14:22:B0:CA:71|hdc222j|<div style='background-color:green'>x</div>|
|mulvc01w|d2c06f43|10.130.20.53|00:14:22:B0:C7:4B||00:14:22:B0:C7:4A|gdc222j|<div style='background-color:green'>x</div>|
|muodea01w|d2c01f41|10.130.20.58|00:14:22:B0:C9:B2||00:14:22:B0:C9:B1|c3q222j|<div style='background-color:green'>x</div>|
|muodea02w|d2c02f48|10.130.20.45|00:14:22:B0:C5:FB||00:14:22:B0:C5:FA|g3h222j|<div style='background-color:green'>x</div>|
|muodec01w|d2c01f42|10.130.20.56|00:14:22:B0:C6:09||00:14:22:B0:C6:08|71h122j|<div style='background-color:green'>x</div>|
|muodec02w|d2c02f44|10.130.20.37|00:14:22:B0:C0:7F||00:14:22:B0:C0:7E|3l3122j|<div style='background-color:green'>x</div>|
|otdaqa01|D2C01|10.130.20.15|00:04:23:C5:1A:52||00:04:23:C5:1A:53|BZDR60251193|<div style='background-color:green'>x</div>|
|otdaqa02|d2c07|10.130.39.12|00:14:22:B1:24:68||00:14:22:b1:24:69|F0R122J|<div style='background-color:green'>x</div>|
|otdaqc01|D2C01|10.130.20.31|00:04:23:C6:DD:1C||00:04:23:C6:DD:1D|BZDR60100462|<div style='background-color:green'>x</div>|
|otdaqc02|d2c07|10.130.39.10|00:14:22:B0:CB:25||00:14:22:b0:cb:26|hcc222j|<div style='background-color:green'>x</div>|
|otdcs02w|d2c06f33|10.130.20.11|00:14:22:B0:CF:CA||00:14:22:B0:CF:C9|31r122j|<div style='background-color:green'>x</div>|
|otdcslv01w|d2c06f35|10.130.20.10|00:14:22:B0:CA:F9||00:14:22:B0:CA:F8|j0r122j|<div style='background-color:green'>x</div>|
|otecs01|D2C07|10.128.20.126|00:14:22:b0:cf:69||00:14:22:b0:cf:6a|7K3122J|<div style='background-color:green'>x</div>|
|othv01w|d2c06f36|10.130.20.18|00:14:22:B0:C5:8C||00:14:22:B0:C5:8B|d88222j|<div style='background-color:green'>x</div>|
|psdaqhva01w|d2c03f43-44|10.130.20.36|00:04:23:C6:DD:27||00:04:23:C6:DD:26|bzdr60251000|<div style='background-color:green'>x</div>|
|psdaqhvc01w|d2c03f36-37|10.130.20.21|00:04:23:C6:DC:E7||00:04:23:C6:DC:E6|bzdr60251123|<div style='background-color:green'>x</div>|
